Concept,Cognates
ABIU,1
ABOVE,1
ACAI PALM,1
AGOUTI,1
ALL,2
ALLIGATOR,1
ANACONDA,1
ANIMAL,1
ANT,4
ANTEATER,1
ARM,1
ARMADILLO,1
ARMY ANT,1
ARRIVE,1
ARROW,1
ASH,1
AXE,1
BACK,1
BAD,1
BANANA,1
BARK,1
BAT,1
BE ALIVE,1
BE ANGRY,1
BEE,1
BELLY,2
BIG,2
BIRD,1
BITE,1
BITTER,1
BITTER MANIOC,1
BLACK,1
BLOOD,1
BLOW,2
BLOWGUN,1
BLUE,1
BLUE OR GREEN,1
BLUE-AND-YELLOW MACAW,1
BONE,1
BOW,1
BOY,1
BRANCH,1
BRAZIL NUT,2
BREAST,1
BREATHE,1
BURN,1
BUTTOCKS,2
CAIMAN,1
CANOE,1
CAPUCHIN MONKEY,1
CAPYBARA,1
CARRY,5
CATCH,1
CHEEK,1
CHICKEN,1
CHILD,1
CHIN,1
CICADA,1
CLOTHES,1
CLOUD,1
COATI,1
COLD,2
COOK,1
CORRECT,1
COTTON,1
COUGH,1
CRY,1
CULTIVATED FIELD,1
CURASSOW,1
CUT,2
DAUGHTER,1
DAY,1
DEER,1
DIE,1
DIG,1
DIRTY,1
DOG,1
DOLPHIN,1
DOVE,2
DRINK,1
DRY,2
DUST,1
EAGLE OR HAWK,1
EAR,1
EARTHWORM,1
EAT,3
EGG,1
ELECTRIC EEL,1
EYE,1
FAECES,1
FALL,1
FAN,1
FAR,1
FAST,1
FAT,1
FATHER,1
FINGERNAIL,2
FIRE,1
FIREWOOD,1
FIRST,1
FISH,1
FISHHOOK,1
FLESH OR MEAT,1
FLOWER,1
FOOD,1
FOOT,1
FOREHEAD,1
FOREST,1
FRUIT,1
FRUIT TREE,1
FULL,1
GENIPA,1
GIRL,1
GIVE,1
GO,1
GOOD,1
GRANDCHILD,1
GRASS,1
GUAN,1
HAIR,1
HAMMOCK,1
HAND,1
HAPPY,1
HARD,1
HE,1
HEAD,1
HEAR,1
HEART,1
HEAVY,1
HERE,1
HILL,1
HOLE,1
HOUSE,1
HOWLER MONKEY,1
HUSBAND,1
I,1
INGA,1
INSIDE,2
JAGUAR,1
KILL,2
KINGFISHER,1
KNEE,1
KNIFE,1
KNOW,1
LAKE,1
LAUGH,1
LEAF,1
LEG,1
LIE (REST),1
LIGHTNING,1
LIVER,1
LONG,1
LOUSE,1
LUNG FISH,1
MAIZE,1
MAN,2
MANIOC,1
MANY,1
MATERNAL UNCLE,1
MILK,1
MONTH,1
MOON,1
MOTHER,1
MOUTH,1
NAME,1
NEAR,2
NECK,1
NECKLACE,1
NEW,1
NIGHT,1
NIGHT MONKEY,1
NOSE,1
NUNBIRD,1
OAR,1
OLD,2
OLDER BROTHER,1
OLDER SISTER,1
ONE,1
OPOSSUM,1
ORIOLE,1
OTTER,2
OWL,2
PACA,1
PACU,2
PADDLE,1
PATERNAL AUNT,2
PATERNAL UNCLE,1
PATH,1
PAXIUBA,1
PEACH PALM,1
PECCARY,1
PENIS,1
PIECE,1
PIERCE,1
PIRANHA,1
PIRARUCU,1
PLAY,2
PORCUPINE,1
POT,1
PREGNANT,1
PULL,1
PUMA,1
PURPLE BANANA,1
PUSH,1
RAIN,1
RED,1
RED-AND-GREEN MACAW,1
RIPE,1
RIVER,1
ROOT,1
ROPE,1
ROTTEN,1
SALT,1
SAND,1
SCROTUM,2
SEE,1
SEED,1
SHAMAN,1
SHARP,1
SHARPEN,1
SICK,1
SIT,1
SKIN,1
SLEEP,1
SMELL,2
SMOKE,1
SMOOTH,1
SNAKE,1
SOIL,1
SON,1
SPEAK,1
SPIT,1
SPLIT,2
SQUEEZE,1
STAND,1
STAR,1
STINGRAY,1
STONE,1
STRIKE OR BEAT,4
SUCK,1
SUN,1
SWEAT,1
SWEET MANIOC,1
SWEET POTATO,1
SWELL,1
SWIM,1
TAIL,1
TAPIR,1
THAT,1
THERE,1
THEY,1
THICK,1
THIN,1
THORN,1
THROW,1
THUNDER,1
TIE,1
TOBACCO,1
TONGUE,1
TOOTH,1
TREE,1
TURTLE,1
TWO,1
URUCU,1
VAGINA,1
VINE,2
VOMIT,1
VULTURE,1
WARM,1
WASH,2
WASP,2
WATER,2
WE,1
WEASEL,1
WEAVE,1
WET,1
WHISTLE,1
WHITE,1
WHITE-LIPPED PECCARY,1
WIFE,1
WOMAN,2
WOOLLY MONKEY,1
YAM,1
YELLOW,1
YES,1
YOU,1
YOU TWO,1
YOUNGER BROTHER,1
YOUNGER SISTER,1
