Concept,Cognates
ACAI PALM,1
AGOUTI,1
ALL,2
ALLIGATOR,2
ANIMAL,1
ANT,4
ANTEATER,2
ARMY ANT,1
ARRIVE,1
ARROW,1
AXE,2
BACK,2
BAD,3
BARK,1
BAT,1
BE ANGRY,1
BEE,1
BELLY,1
BIG,2
BITE,1
BITTER,1
BITTER MANIOC,1
BLACK,1
BLOOD,1
BLOW,3
BLUE-AND-YELLOW MACAW,1
BONE,1
BOW,1
BOY,1
BRANCH,1
BRAZIL NUT,1
BREAST,2
BREATHE,1
BURN,1
BUTTOCKS,2
CAIMAN,1
CANOE,2
CAPUCHIN MONKEY,1
CARRY,1
CATCH,1
CHEEK,1
CHILD,1
CHIN,1
CICADA,1
CLOTHES,1
COATI,1
COOK,1
COUGH,1
CRY,1
CULTIVATED FIELD,1
CURASSOW,1
CUT,2
DAUGHTER,1
DEER,1
DIE,1
DIG,1
DIRTY,1
DOG,1
DOLPHIN,1
DRINK,1
DRY,1
EAGLE OR HAWK,1
EAR,1
EARTHWORM,1
EAT,1
EGG,1
ELECTRIC EEL,1
EYE,1
FAECES,1
FALL,2
FAN,2
FAT,1
FATHER,1
FINGERNAIL,1
FIRE,1
FIREWOOD,1
FIRST,1
FISH,1
FISHHOOK,1
FLESH OR MEAT,2
FLOWER,1
FOOD,3
FOOT,1
FOREHEAD,1
FRUIT,1
FRUIT TREE,1
FULL,1
GIRL,1
GO,1
GOOD,1
GOURD,1
GRANDCHILD,1
GUAN,1
HAIR,1
HAMMOCK,1
HAND,1
HAPPY,1
HARD,1
HEAD,1
HEAR,1
HEAVY,1
HERE,1
HILL,1
HOLE,1
HOUSE,2
HOWLER MONKEY,1
HUSBAND,1
INSIDE,2
JAGUAR,1
KNIFE,1
KNOW,1
LAKE,1
LAUGH,1
LEAF,1
LEG,1
LIE (REST),2
LIGHTNING,1
LONG,1
LUNG FISH,1
MAIZE,1
MAN,1
MANATEE,1
MANY,3
MATERNAL UNCLE,1
MILK,1
MONTH,1
MOON,1
MOTHER,1
MOUTH,1
NECK,1
NECKLACE,1
NEW,1
NIGHT,1
NIGHT MONKEY,1
NOSE,1
NUNBIRD,1
OLD,1
OLDER BROTHER,2
OLDER SISTER,1
ONE,1
OPOSSUM,1
OTTER,1
OWL,2
PADDLE,1
PATERNAL AUNT,2
PATH,1
PEACH PALM,1
PECCARY,1
PENIS,1
PIECE,1
PIERCE,1
PIRANHA,1
POT,1
PUMA,1
PURPLE BANANA,1
PUSH,1
RAIN,1
RED,2
RED-AND-GREEN MACAW,1
RIPE,1
RIVER,1
ROTTEN,1
SAND,1
SCROTUM,2
SEED,1
SHAMAN,1
SHARPEN,1
SICK,1
SIT,1
SKIN,2
SLEEP,1
SNAKE,2
SOIL,1
SON,3
SQUEEZE,2
STAND,1
STAR,1
STINGRAY,1
STONE,1
STRIKE OR BEAT,4
SUCK,2
SUN,1
SWEET POTATO,1
TAPIR,1
THORN,1
TIE,1
TOBACCO,1
TONGUE,1
TOOTH,1
TREE,1
TURTLE,1
TWO,1
URUCU,1
VINE,2
VULTURE,1
WASP,2
WATER,2
WEAVE,1
WET,1
WHISTLE,1
WHITE,1
WHITE-LIPPED PECCARY,1
WIFE,1
WIND,1
WOMAN,1
WOOLLY MONKEY,1
YAM,1
YELLOW,1
YES,1
YOU,1
YOUNGER BROTHER,3
YOUNGER SISTER,3
