Concept,Cognates
all,1
bad,1
"below, under",1
big,1
black,1
cold (of temperature),1
correct (right),1
dark,1
dirty,1
dry,1
early,1
eight,1
far,1
firewood,1
five,1
four,1
full,1
good,1
green,1
hard,1
he or she [third person singular],1
heavy,1
high / tall,1
hot,1
hundred,1
inside,1
knife,1
left,1
long,1
many,1
middle,1
morning,1
narrow,1
near,1
new,1
nine,1
noon,1
old (of person),1
one,1
outside,1
red,1
right,1
round,1
salty,1
seven,1
sharp,1
short,1
shy,1
six,1
small,1
smooth,1
soft,1
straight,1
ten,1
that,1
the ant,1
the bamboo,1
the belly,1
the bird,1
the blood,1
the body hair (hair or fur),1
the bone,1
the branch,1
the breast (female),1
the child (young human),1
the cloud,1
the daughter,1
the dew,1
the dog,1
the dream,1
the dust,1
the ear,1
the earth (soil),1
the earthworm,1
the egg,1
the eye,1
the father,1
the fire,1
the fish,1
the flea,1
the flower,1
the fog,1
the foot,1
the forest,1
the frog,1
the front (front side),1
the fruit,1
the goat,1
the grass,1
the hail,1
the hair (of the head),1
the hand,1
the head,1
the heart,1
the horn (keratinized skin),1
the horse,1
the house,1
the husband,1
the knee,1
the lake,1
the leaf,1
the lip (the lips),1
the liver,1
the louse,1
the lung,1
the man (male human),1
the meat,1
the moon,1
the mosquito,1
the mother,1
the mountain,1
the mouse or rat,1
the mouth,1
the mud,1
the nail (fingernail or claw),1
the name,1
the neck,1
the nit,1
the nose,1
the otter,1
the pig,1
the rain,1
the rice plant,1
the river,1
the road,1
the root,1
the rope,1
the salt,1
the sand,1
the seed,1
the shit,1
the shoulder,1
the skin,1
the sky,1
the smoke,1
the snake,1
the snow,1
the son,1
the sparrow,1
the spider,1
the star,1
the stick,1
the stone (a piece of),1
the sun,1
the tail,1
the thigh,1
the thunder,1
the tiger,1
the tongue,1
the tooth (front),1
the tree,1
the water,1
the wife,1
the wind,1
the wing,1
the woman,1
the wood (material),1
the year,1
thick,1
thin (object),1
this,1
thou [second person singular],1
three,1
to be alive,1
to bite,1
to burn [intransitive],1
to buy,1
to chew,1
to come,1
to count,1
to cry (weep),1
to die,1
to dig,1
to drink,1
to eat,1
to float,1
to flow,1
to fly (move through air),1
to forget,1
to give,1
to hear,1
to hide (conceal),1
to hold,1
to knead,1
to know (something),1
to laugh,1
to lick,1
to lie down,1
"to plant (vegetals, rice)",1
to play,1
to pull,1
to push,1
to reside (live),1
to run,1
to scratch,1
to see,1
to shoot (an arrow),1
to sleep,1
to smell (perceive odor) [transitive],1
to stand,1
to steal,1
to think (reflect),1
to throw,1
to vomit,1
to walk,1
to wipe,1
today,1
tomorrow,1
twenty,1
two,1
we [first person plural inclusive],1
wet,1
what,1
where,1
white,1
who,1
yellow,1
yesterday,1
you [second person plural],1
young,1
